CLUE,ANS,POS
Go without or precede ,forego,6
Old collectable item,antique,1
Fully grown ,mature,2
Avoid ,shun,6
Insipid -- uninteresting ,bland,19
Tranquil ,calm,3
"Alone, apart, detached ",isolated,3
Violent whirling windstorms,cyclones,4
Cause of general outrage,scandal,17
"Stirs up, rouses ",excites,1
Sheepdog ,collie,1
Yet to come,future,1
Evaded,dodged,6
Harm or injury ,damage,3
Separated ,apart,2
Require ,need,2
Traffic jam ,snarl-up,4
Someone not belonging to the nobility ,commoner,1
Joins together ,combines,1
Evasive ,shifty,4
Relative ,aunt,3
