CLUE,ANS,POS
In a tidy manner ,neatly,1
Cultivated plot of ground ,garden,2
Waterway ,canal,3
Island country in the Persian Gulf ,bahrain,1
Chaser of criminals for reward ,bounty hunter,1
Bring to a close ,end,12
Lights in transparent cases ,lanterns,4
Type of savoury tart ,quiche,1
Head of US company - tried pens (anag) ,president,6
Vocalist ,singer,1
Perceive,notice,3
Ungenerous,stingy,5
Rotate ,spin,5
Forbearing ,tolerant,2
Decay in teeth ,caries,1
Of dogs,canine,1
Price of passage ,fare,1
"Hat, for a country-and-western singer perhaps",stetson,1
Outline drawing ,sketch,1
Abraham's wife (OT) ,sarah,1
Not ready enough for action ,underprepared,11
Reasoning ,logic,1
Power of creative thought ,imagination,1
