CLUE,ANS,POS,FOUND IN
Last-born ,youngest,2,Youngest sibling
"English poet, 1922-85 ",larkin,7,Philip Larkin
Raised band ,ridge,8,Enhanced ridge
Red (in heraldry),gules,1,"Gules (heraldic term for red, abbreviated as gu.)"
Put off ,delay,1,Delayed
One end of Earth's axis ,north pole,4,Geographic North Pole
Norwegian dramatist ,ibsen,1,Henrik Ibsen
Long and hard journey ,trek,1,Arduous trek
Royal paraphernalia ,regalia,1,Kingly regalia
Stride ,step,11,Stately step
Deep sadness ,sorrow,2,Sorrowful
In the shape of a helix ,spiral,1,Spiral staircase
"Contemplates, considers ",reflects,1,Reflects on
Relating to atomic energy ,nuclear,1,Nuclear reactor
Reach,attain,2,Attained
"Cricket, table-tennis and baseball implement ",bat,3,Bats (baseball)
Paris stock exchange ,bourse,1,Bourse de Paris
Constant nuisance ,pest,20,Persistent pestering
Clap ,applaud,18,Applauding gesture
"Brogue or loafer, perhaps ",shoe,2,Boot shoe style
Subsequent ,next,4,Next in line
Woollies ,knitwear,13,Retail outlet specializing in high-quality knitwear
Not faint or feeble ,strong,3,Strong-willed
"Distinct, separate ",different,12,Distinctly different
A Hindu spiritual teacher ,guru,1,Guruji
Uppermost attachment of a vessel's rigging,topsail,11,Topsail clew
Suffering,distress,4,Distressed
(Of computer memory) able to be read in non-sequential order ,random access,1,Random Access Memory (RAM)
