CLUE,ANS,POS,FOUND IN
Drawings showing how things work ,diagrams,1,"Diagrams: Illustrations or sketches that visually represent the functioning of a mechanism, process, or system."
US Department of Defense ,pentagon,6,Pentagon (headquarters building)
Fast-moving stream ,torrent,15,Lively torrent
Underground chapel ,crypt,10,Cryptic consecration
Net for fishing at sea ,trawl,3,Aquatic trawling device
Prolonged public dispute,controversy,5,Sustained controversy
Gain by work ,earn,1,Earnings
Pig meat ,pork,10,Porker
Branch of mathematics ,arithmetic,5,Arithmetic foundation
Continent ,asia,1,"Asia: home to the largest population in the world, diverse cultures, and rich histories"
Scrounge ,beg,1,Beg for scraps
Picture ,photo,12,"Barely filled plate imagery: A visual representation used in art or photography that signifies minimal sustenance, suggesting the presence of hunger."
Wash ,bathe,20,Bathed in soap suds
Forgetful ,absent-minded,3,Mentally absent-minded
Unhurried and relaxed,laid-back,3,"Laid-back: Casual, nonchalant; not stressed or overwhelmed by the situation."
Limiting (a supply) ,rationing,15,Rationing supplies
Unpleasant coldness ,chill,1,Chilly
Totalitarian Russian leader,stalin,1,Josef Stalin
Resolve; come down ,settle,1,Settle: To resolve a conflict or situation by reaching an agreement.
