CLUE,ANS,POS
Seat of the high kings of Ireland ,tara,3
Armed body ,militia,10
Disparagement ,denigration,20
Magnetic force ,attraction,1
"Inclination, propensity ",tendency,1
F1 team and car maker,lotus,12
Observed - famous,noted,1
Chief Norse god ,odin,1
Carve in relief ,emboss,17
Harshly grating ,rasping,14
Capital of Japan,tokyo,1
Single parts of a whole ,units,18
Powerful portable radio and cassette player ,boombox,2
"Brought up, propagated ",bred,9
Dismantle ,take apart,6
Hole in tooth ,cavity,1
High official in former Ottoman Empire ,vizier,2
Fossilised resin used in jewellery,amber,1
Male sex hormone,testosterone,1
V as a numeral ,five,1
Etch,inscribe,4
It used to be Persia ,iran,1
Relating to punishment ,penal,2
"A dramatic or picturesque scene, may be still ",tableau,15
Hairpiece ,toupee,2
Chastised ,punished,15
Evacuation ,exodus,1
Noah's Ark Mount ,ararat,1
Yellowish fossil resin ,amber,1
Having reading disorder ,dyslexic,1
Actor's part ,role,1
Total ,aggregate,8
Cereal used for making whiskey ,rye,5
Example or single occurrence of something ,instance,1
Very appropriate ,apposite,3
Ridge of sand ,dune,1
Unit of electric power,watt,1
