CLUE,ANS,POS
"Put to death or carry out, say plan ",execute,1
Severe flood ,deluge,2
Be cautious (of) ,beware,1
"Detested, loathed ",abhorred,3
Blind guess,shot in the dark,13
Thick liquid that doesn't dissolve in water ,oil,1
Greek epic wanderings of Ulysses ,odyssey,1
Rare ,uncommon,4
Sanskrit treatise on the art of love,kama sutra,1
Flat raised land ,plateau,4
Burial chamber ,tomb,1
Riding trousers ,breeches,1
Greek diva ,maria callas,1
Brazilian tree or its wax ,carnauba,1
Recovery of youth,rejuvenation,1
Gun ,firearm,1
Moon feature ,crater,1
Rebirth in a new body ,reincarnation,5
