CLUE,ANS,POS
Group of fish ,shoal,1
Drawings showing how things work ,diagrams,1
US Department of Defense ,pentagon,1
Outflow ,efflux,7
Fast-moving stream ,torrent,1
Underground chapel ,crypt,3
Prolonged public dispute,controversy,5
In a happy mood ,cheerful,2
Gain by work ,earn,1
Tiny particles ,atoms,1
Pig meat ,pork,1
Bell tower ,belfry,3
"Arrogant pride, from the Greek ",hubris,1
Hold affectionately ,embrace,3
Decriminalises ,legalises,1
"Alleviates, relieves ",eases,10
Universe ,cosmos,1
Magical or medicinal potion ,elixir,1
Continent ,asia,2
Wash ,bathe,8
Unhurried and relaxed,laid-back,7
(Semi)enclosed area,precinct,15
Event causing great damage ,catastrophe,15
Resolve; come down ,settle,1
