CLUE,ANS,POS
Conveyance for transport ,vehicle,1
Single cash payment ,lump sum,1
Consume ,eat,1
Herb - boy's name,basil,1
Feature supplementing standard model ,add-on,1
Point directly overhead ,zenith,1
Performance venue ,arena,6
Dirt on a liquid's surface ,scum,18
Facilitate ,ease,9
The emblem of the US is bald ,eagle,1
Reflective surface,mirror,1
"Glass triangle, separates light into colours ",prism,1
Bluish shade of green ,teal,3
Native of Grecian capital ,athenian,1
Sheltered terrace attached to a house ,veranda,8
"One means these flowers, oddly ",anemones,19
Type of carpet ,axminster,2
Root vegetable ,carrot,3
"Adieu, so long ",farewell,1
Disdainful ,haughty,4
Long-necked bird ,emu,6
"Cunning, deceitful ",crafty,3
Immense ,vast,4
Place of religious retreat for Hindus ,ashram,1
Make reference to ,cite,2
Former students,alumni,1
Break into parts ,split,8
Able to function,operable,16
Perilous ,risky,3
Line of rotation ,axis,1
Perpendicular ,vertical,18
German motorway ,autobahn,1
Chemical indicator ,litmus,1
