CLUE,ANS,POS,FOUND IN
Former prime minister ,thatcher,1,Margaret Thatcher (UK)
Capsule containing injection dose ,ampoule,5,Injection ampoule
Occurring in repeated series of events ,cyclic,1,Cyclical
Young eel ,elver,1,Elver (Estonian word)
University qualification,degree,1,Bachelor's degree
Rejoice - observe - perform ,celebrate,1,Celebrate (Rejoice)
Brush gently - coup,stroke,3,Stroke (when using a brush to lightly touch an area)
The sheltered side ,lee,1,"Leeward - A term used to describe the side or direction away from the wind, often referring to an area on land facing away from prevailing winds."
Booth; prevaricate ,stall,1,"Vendor (a person who sells goods from a temporary location or stall, like a booth at a market)"
"Sphere, globe ",orb,5,Orbital object
Pay attention to ,heed,19,Take heed of
Branch of technology including aviation ,aerospace,4,Avionics (Aerospace Electronics)
Church robe ,vestment,1,Clergy vestments
"Foretell, be a sign of ",augur,5,Augury - A sign interpreted as an omen concerning the character or decision of the future.
Skin complaint ,eczema,2,"Eczema - An inflammatory skin disorder causing red, itchy rashes on the body's flexure points such as elbows, knees and neck."
"Of a period of government, such as in Britain 1811-1820",regency,1,"Regency - A term used to describe the era between 1811 and 1820 when George, Prince of Wales (later King George IV) acted as regent for his incapacitated father, King George III."
Metallic sound ,clang,1,"Clangor - The harsh, ringing sound made by metal objects hitting each other."
"Kind of nut, makes nice icing on cake ",almond,1,Almond - Nut commonly used in baking and for making almond milk or butter to enhance flavor.
Container for beer etc ,barrel,19,Wherry barrel
