CLUE,ANS,POS
Famous person (sl.) ,celeb,1
Interference ,meddling,11
Melt ,dissolve,2
Element ,zinc,11
Composed of three parts ,ternary,2
Like lawns or pasture ,grassy,1
Leave out or neglect ,omit,12
Writer (before printing was developed),scribe,2
"Last, final or extreme ",ultimate,3
Aggressive masculine pride ,machismo,1
Low in price ,cheap,7
The witching hour ,midnight,1
Bomb fragments,shrapnel,1
The use of words which is the opposite of what they say ,irony,1
German name for Aix-la-Chapelle ,aachen,1
