CLUE,ANS,POS,FOUND IN
One eighth of a mile,furlong,6,One furlong (about 0.1 mile)
Depressed ,low,15,Low (adjective)
Boggy land ,swamp,1,Swampy land
Reptile with two pairs of legs ,lizard,3,Twin-legged lizard
Nationality of citizens of Helsinki ,finnish,1,"Therefore, the citizens of Helsinki are Finnish by nationality."
Informal restaurant,cafe,6,Cafe-bar
Hurry ,haste,2,Hasten
Large livestock farm ,ranch,1,Cattle ranch
It's used to treat disorders and diseases ,medicine,15,Medicine cabinet
Farm store ,barn,7,Barn and garden store
Mary Shelley's monster ,frankenstein,1,Frankenstein's monster
