CLUE,ANS,POS
Fashion designer ,couturier,4
Hate ,loathe,6
"Trounce, beat ",thrash,5
Grassy plains of South America ,pampas,1
Inland body of water ,lake,1
Spreader of frightening rumours ,scaremonger,4
Living thing,organism,1
Zimbabwean capital ,harare,1
Nearer in space or time ,closer,1
"Activate, wake up ",rouse,2
Gifts ,presents,1
Line of people ,queue,1
Dawn ,sunrise,2
Old or ageing ,elderly,2
Hang around ,loiter,2
"About, here and there ",around,1
Disgorged ,ejected,1
A stand in a market-place ,stall,1
Illegal ,illicit,11
Epic - legend ,saga,1
Leading article ,editorial,1
Boundary; maximum ,limit,1
Frame of vehicle ,chassis,3
Cutters ,knives,4
Baby frogs ,tadpoles,1
Knock down (building) ,demolish,1
Requiring hard work ,arduous,6
Crustacean ,crab,1
