CLUE,ANS,POS
Obstacle ,handicap,12
Agra tourist attraction ,taj mahal,1
Two times ,twice,4
Winged god of love ,eros,2
Widespread killing ,massacre,2
Automatic machine ,robot,3
Book series by John Galsworthy ,the forsyte saga,2
Strong drink ,vodka,4
Brigham Young state ,utah,1
Home loan ,mortgage,1
Warning of danger ,alert,1
River flowing through Russia and Kazakhstan to the Caspian,ural,5
Hazel nut ,filbert,1
Pleasure seeker ,hedonist,1
Take small bites from ,nibble,7
Parliament's bell ,big ben,1
Penniless ,destitute,15
(Fiery) Hell,inferno,1
Walking in water ,paddling,3
Particle ,atom,1
Branch of mathematics ,trigonometry,4
German airship,zeppelin,1
Riddle ,conundrum,2
Adieu ,goodbye,2
Dutch painter renowned for his use of light ,vermeer,7
Huge,massive,3
Sermon ,homily,1
Carry on where one left off,resume,1
Simple song ,ditty,13
A scrape or mark of rubbing ,abrasion,1
Respite ,time-out,19
