CLUE,ANS,POS,FOUND IN
Moll Flanders author ,defoe,1,"Daniel Defoe (author who wrote ""Moll Flanders"")"
Roman god of the sea ,neptune,1,Neptune (Primary name for the god in Roman mythology)
Doctor -- (Marlowe) ,faustus,1,"Faustus"":"
The mythical giant with a single eye in the middle of his forehead ,cyclops,1,Cyclops (most famous example from Greek mythology)
Wireless ,radio,2,Radio transmission
His touch turned to gold ,midas,1,Midas-like
Escaped or avoided ,evaded,13,Evaded capture
"British landscape and seascape painter, d.1851 ",turner,2,Turner (J.M.W
Quick way to meet a new partner?,speed dating,4,"Attend speed dating events, which are specifically set up for people to meet multiple potential partners in one evening."
Black and white bird ,magpie,2,Magpie (when considering the black and white pattern on its wings)
Branch of study of the physical world ,science,10,Environmental Science
Find - Scott's ship,discovery,7,Discovery II (another name that evokes the spirit of discovery and continuity from past expeditions like Scott’s)
War-torn,battle-scarred,16,Battle-scarred land
Spanish friend ,amigo,1,Amigo español
Taurus,bull,1,Bull's sign
Follower of religion founded by Joseph Smith Jr. ,mormon,2,Mormons
A simple or old song ,ballad,11,Age-old ballad
Lie with arms and legs spread about loosely ,sprawl,6,Sprawled
Least in difference between high and low tides,neap,1,"The neap tide has less variation compared to spring tides, which have the highest tidal range."
Right or means of entry ,access,3,Access point
Handle something awkwardly ,fumble,4,Fumble with
