CLUE,ANS,POS,FOUND IN
State of being held prisoner ,captivity,9,Oppressed by captivity
Weaken (one) with hunger ,famish,3,Famished leads to a decrease in vitality
Waterhole; healthy ,well,1,"Pristine - indicating the high quality or purity of a water source, similar to how ""healthy"" denotes good physical well-beringing."
Underneath ,below,2,Below ground level
Business transaction in timber ,deal,17,Timber export deals
Singing Dame of WWII ,vera lynn,2,"Vera Lynn - Renowned for her popular World War II songs like ""We'll Meet Again"" and ""The White Cliffs of Dover"""
Very black ,inky,2,Inky darkness
Allow ,let,9,"Let someone know about something without explicitly informing them: ""Drop hints"""
From birth to death ,lifetime,16,Lifetime journey (metaphorical or literal)
Bring about; on time ,prompt,1,Promptly instigate
Anticipate ,foresee,8,Foreseeing potential challenges
World War I battlefield,ypres,4,Ypres Salient
Idle wanderer ,vagabond,13,Vagrant vagabond
First woman ,eve,9,"Role model: A female figure admired and emulated for her exceptional achievements, contributions, and influence in various fields."
Workplace using non-union labour ,open shop,4,Open shop environment
Type of camel - cabin rat (anag),bactrian,2,"Bactrian Camel (Two-Humped, Asian Rat Camel)"
(Chemical used in production of) clear film,acetate,1,"Polycarbonate: Used for the manufacturing of transparent acetate sheets, commonly known as ""clear film."""
