CLUE,ANS,POS
Second-hand ,used,4
Royal mansion ,palace,1
Rather recent ,newish,11
Hoodlum,gangster,8
Not far away ,nearby,6
Staff; spice ,mace,3
Game bird ,grouse,3
Citrus fruit ,lemon,2
Traditional ballad ,folk song,3
Slanting ,oblique,2
Ran in (anag) - a place in Scotland,nairn,13
Is the narrator a bank clerk? ,teller,4
Properties that have money value ,assets,1
It holds a ship in place ,anchor,1
Old Testament prophet ,isaiah,5
Next to ,alongside,18
Grasp - eggs - car pedal,clutch,1
Power to influence ,leverage,7
German tank ,panzer,1
Interrogate ,question,1
Imminent in a menacing way ,looming,1
