CLUE,ANS,POS,FOUND IN
"Whisk, blend ",stir,4,Stir continuously
Cask ,tun,15,Tun (large barrels historically used in the wine trade)
Transparent ,clear,1,Clear as crystal
Surprise police visit ,raid,1,Unexpected raid
Utter a piercing cry,scream,6,A high-pitched scream
James Bond likes his martini this way ,shaken,6,"Shaken, not stirred"
From Antarctica or the Arctic ,polar,1,Polar bear
Rim ,edge,1,Borderline edge
Supply base ,depot,10,Material depot
Not curds ,whey,12,Whey bypassed product
"Eg, the Tate ",gallery,1,Gallery space
Intended ,meant,6,Meant to achieve
