CLUE,ANS,POS
Decoration ,embellishment,3
Person whose earnings support the family ,breadwinner,1
Man-made lake or tank,reservoir,1
Nonmilitary person ,civilian,1
US state ,kansas,16
Goes beyond ,exceeds,1
Child's construction set ,lego,3
Lizard that can change its skin colour ,chameleon,1
Indian tea state ,assam,1
Pare ,trim,3
Without a particular aim or purpose - say a choice ,random,3
"Fake, phoney ",bogus,2
Obscured ,veiled,8
Decorates ,adorns,1
Zero,nil,2
"Subject to change, variable ",unstable,9
