CLUE,ANS,POS,FOUND IN
It's linked to the Mediterranean by the Suez Canal ,red sea,11,Red Sea Connector
Stadium,arena,1,Sporting arena
Reproductive cells,ova,5,Ova or Eggs (females)
Indicator on score of musical rhythm ,time signature,1,"Time signature: Denotes the pattern of beats in a measure, affecting how musicians perceive and maintain rhythmic structure."
Adult swine ,hog,6,Hog (informal term for pig)
Flaming ,blazing,7,Blazing ambition
Latent ability,potential,4,Untapped potential
Furtiveness ,stealth,1,Stealthy
"Informally, an eccentric or very strange person ",weirdo,12,Weirdo in spirit
Of iron ,ferric,2,"Ferric: Referring to iron with an oxidation state of +3, known as ferric ion (Fe^3+)."
Temple of all the gods ,pantheon,5,Pantheon's heart
Secured - buckled ,fastened,2,Fastened securely
New Zealand bird ,kiwi,1,Kiwi (the national emblem)
(Make) a rattling noise ,clatter,3,Clattering utensils
Church bench ,pew,1,Pew-occupant
Motor vehicles for heavy goods ,lorries,11,Articulated lorries
Strong cord ,rope,1,Robust rope
