CLUE,ANS,POS
Arab ruler ,emir,2
Continental ,european,1
Formal written work dealing with a particular subject ,treatise,3
Had as a purpose ,intended,2
Inequitable ,unjust,4
Concurred ,agreed,1
Wimbledon game ,tennis,1
Going too fast ,speeding,1
Fire-raising crime ,arson,1
Dependent (on someone or something) ,reliant,1
Conjuring skill ,legerdemain,11
Boiling water vapour,steam,1
Lustful woodland god ,satyr,5
Playwright ,dramatist,2
Carve a statue ,sculpt,2
Generally liked ,popular,2
Acceptance ,approval,1
