CLUE,ANS,POS,FOUND IN
Get bigger ,grow,4,Growing
Discharge; give expression to,vent,6,Venting
Snow vehicle and heavy hammer ,sledge,1,Sledgehammer (snow shovel analogy)
Ought to ,should,11,"Reward (as in, something that should be rewarded)"
Occupation ,work,2,Workforce
Dismal ,drear,2,Dreary
Aid to memory ,mnemonic,1,Mnemonic device
Involving hard work ,laborious,5,Laborious task
With much to do ,busy,3,Busy schedule
Bigotry ,bias,7,Unyielding bias
One with no illusions ,realist,1,Realistic
