CLUE,ANS,POS,FOUND IN
"Listening device, insect or electronic fault ",bug,2,Bug (insect term also slang for eavesdropping equipment)
Trendy body joint? ,hip,6,Hip (center of many yoga-related movements)
Flower ,bloom,8,Hydrangea - Known for their large blooms made up of numerous small flowers arranged in clusters.
Make better ,improve,1,Improve - To make or become better or enhance quality
Many-coloured gem ,opal,10,"Opal (Pristine opals display many colors, while ""precious"" opals usually refer to one color)"
Power to withstand hardship ,endurance,2,Endurance - The ability to sustain prolonged stressful effort or activity.
Arm joint,elbow,1,Elbow - A hinge joint in the human body connecting the upper arm to the forearm.
Highway ,road,10,Toll road
Occasion for excessive eating or drinking,binge,6,Binge-eating
Imperial weight ,ounce,5,Ounce - A smaller unit equal to 1/16th of a pound (approximately 28.35 grams).
Kingsley Amis novel ,lucky jim,1,Lucky Jim (1954)
Child's toy on a string ,yo-yo,15,Yo-Yo Toy - An ancient toy consisting of a spindle with string; children learn how to make it spin and control its return through manipulation of the string.
Stand firm against ,resist,1,"Resist - To withstand attack, effort or opposition."
Eightfold ,octuple,5,Octuplets (groups of eight items)
Former ruler of Iran,shah,1,Shah (Title)
Broad ,wide,1,Wide-ranging
Christian Creed adopted in 325 a.d. ,nicene,1,"Nicene - referring to the Nicene Creed, which was formulated and adopted during the First Council of Nicaea in 325 A.D."
Not sacred ,secular,3,Secular - not connected to religion or spiritual matters
Chain of rocks underwater ,reef,16,Coral reef formation (partially related as they often grow on underwater rock chains)
