CLUE,ANS,POS
Occupant ,resident,1
Nevertheless ,even so,13
Vast age ,eon,3
Heated discord,strife,16
"Extinguish, wipe out ",eradicate,6
'Many are called but few are ...' ,chosen,1
Narrow road ,lane,3
Cheap and poorly made ,shoddy,1
Concern or curiosity ,interest,1
Closely compacted ,dense,1
Trainee officer ,cadet,1
Extra payment ,bonus,1
Achieve successfully ,accomplish,1
Between red and yellow ,orange,1
Submarine's eye? ,periscope,1
People of high birth,gentry,4
"Call on, go to see ",visit,2
Best possible,ideal,1
