CLUE,ANS,POS
"Inscribed slab found 1799, making it possible to decipher Egyptian hieroglyphics ",rosetta stone,8
Had the same opinion ,agreed,1
Vast multitude ,legion,5
Tiredness,fatigue,1
Exotic flower ,orchid,15
Bovine animals ,cattle,1
Set of clothes or group of people ,outfit,6
Wanderer ,rover,11
It's distilled from molasses ,rum,14
Products of creativity ,art,1
Mid-day ,noon,1
"Quietly, without fuss ",calmly,8
"Medieval Japanese trained in martial arts, assassination and espionage ",ninja,2
US state ,indiana,14
Curly-haired breed of dog ,poodle,6
Gravelly courage ,grit,1
