CLUE,ANS,POS
Meddle or interfere with ,tamper,3
A long arduous march ,trek,2
Light volcanic rock ,pumice,1
It's thrown in a field event ,javelin,1
Inhabitant of a city ,citizen,5
Agreement ,harmony,2
Doctor Who genre ,sci-fi,1
Draught of medicine ,potion,2
Official procedure ,protocol,2
Underground passage ,tunnel,1
"Chain, shackle ",fetter,4
Roman emperor ,nero,2
Militant proponent,zealot,16
Mediterranean island ,cyprus,2
Large army guns ,artillery,1
"Hot and bothered, rattled",flustered,4
Memo ,note,1
Sameness ,monotony,1
Church residence ,vicarage,3
Portuguese Atlantic isles ,azores,1
Poison ,toxin,2
"Guarantee, promise ",assure,2
