CLUE,ANS,POS
Professional misconduct,malpractice,6
Stuck-up ,snobbish,2
Ancient two-handled jar ,amphora,1
Area of land feeding one river ,drainage basin,1
Brilliant - dazzling,scintillating,11
Waterhole; healthy ,well,4
Appraise ,assess,1
Underneath ,below,2
Singing Dame of WWII ,vera lynn,1
From birth to death ,lifetime,10
Bring about; on time ,prompt,27
Dessert ,pudding,8
Group of things that belong together ,set,1
Idle wanderer ,vagabond,1
Small leaflet ,pamphlet,4
Afflication ,malady,5
Mistake ,error,1
Sports or entertainment venue ,arena,2
