CLUE,ANS,POS
Quickly and without warning ,suddenly,1
"Infuriated, outraged ",incensed,5
"Italian astronomer, a founding father of modern science ",galileo,1
French helmet ,casque,1
Outdoor ,open air,1
Sound of a plucked string ,twang,1
Maritime,nautical,8
"Mount, ascend ",climb,1
Office; desk,bureau,3
Commercial vehicle ,van,6
Wanting too much ,greedy,1
Country in Indochina ,vietnam,1
Diminish ,lessen,5
Scottish dance ,reel,3
"Range, extent ",scope,4
Chaos ,mayhem,8
Substance exuded by acacia ,gum arabic,10
"Mockery, ridicule ",derision,6
"Trembling, vibrating ",shaking,2
Weapon store ,arsenal,1
Paid killer ,assassin,1
Innate ,natural,2
Naval officer ,admiral,1
