CLUE,ANS,POS,FOUND IN
Seat of the high kings of Ireland ,tara,1,"Tara (Hill of Tara, traditional seat of power in ancient Ireland)"
F1 team and car maker,lotus,10,Lotus Cars (historically linked to F1 as a team)
Carve in relief ,emboss,17,Embosser
Etch,inscribe,1,Inscribe 
It used to be Persia ,iran,4,Greater Iran (cultural term)
"A dramatic or picturesque scene, may be still ",tableau,1,Tableau vivant
Kit ,equipment,2,Emergency equipment
Total ,aggregate,10,Gross aggregate
Ridge of sand ,dune,3,Dune crest
Unlit by solar light ,sunless,15,Sunless day
Unit of electric power,watt,1,"In terms of practical application, this could be seen within household items such as a light bulb rated at a certain wattage to indicate its electricity consumption rate."
