CLUE,ANS,POS
Last-born ,youngest,1
Raised band ,ridge,7
Veil worn by Muslim women,chador,4
Simultaneous discharge of guns ,salvo,1
Red (in heraldry),gules,21
Fish; edible cactus ,tuna,1
Put off ,delay,1
Without resistance or other contenders ,unopposed,4
Flat highland ,plateau,1
Person in holy orders,cleric,3
Search causing disorder - jumble ,rummage,4
Ham it up ,overact,8
"'Corpulent, round (6)' ",rotund,12
Norwegian dramatist ,ibsen,1
Long and hard journey ,trek,2
Sorrow ,grief,1
Royal paraphernalia ,regalia,9
Stinging plant ,nettle,1
Stride ,step,3
Cake decoration ,icing,3
By that very act (Latin) ,ipso facto,1
First meal ,breakfast,1
Not on ,off,1
Bet ,wager,1
In the shape of a helix ,spiral,1
"Contemplates, considers ",reflects,2
Compete ,vie,5
Relating to atomic energy ,nuclear,1
Reach,attain,1
