CLUE,ANS,POS
Pieces of broken glass ,shards,1
Young cow ,calf,1
(Of beer?) available ,on tap,1
Building for travellers ,hotel,4
"Differ, dissent",disagree,1
Treat with disrespect ,insult,2
Person who jeers speaker from the crowd ,heckler,1
"Uninvolved, distant ",aloof,2
Striking with the foot ,kicking,1
Way of bearing one's body ,posture,1
Spud ,potato,1
Take too much food ,overeat,1
Vegetable resembling celery,fennel,6
Legal enactment ,statute,4
Woman's garment,blouse,5
Gift (to charity) ,donation,1
"Examined, tried ",tested,7
"Keenness, avidness ",eagerness,1
