CLUE,ANS,POS,FOUND IN
"Large, mainly Mongolian, desert",gobi,1,Gobi Desert
Play music in the street ,busk,7,Busking (if within legal restrictions)
Typo ,misprint,5,Misprinted
"Back, sanction ",endorse,3,Hindsight endorsement
Get down low ,crouch,1,Crouching
Catch the breath ,gasp,1,Gasping
Fan out in ornamental water jet ,fountain,1,Streaming fountain
Leave ,depart,1,Departing
Conforming to Islamic (dietary) laws,halal,1,Halal: Permitted according to Islamic dietary laws
Separated ,apart,10,Apart from each other
"Fast river flows, white waters ",rapids,11,Powerful rapids
Oliver Goldsmith wrote 'The . . . . . of Wakefield' ,vicar,1,The Vicar of Wakefield
Pursue quarry ,hunt,1,Hunted prey
Whole and complete ,entire,3,Entirely developed
"Tear, rend ",rip,7,Ripped
"Fidel . . . . . ., Cuban chief ",castro,2,"Batista: Although Fidel Castro's revolutionary predecessor and contemporary was Fulgencio Batista (no direct connection to the name ""Fidel""), this surname is relevant in a Cuban context due to its historical significance."
