CLUE,ANS,POS,FOUND IN
Moroccan stew cooked in a pot with a conical lid ,tagine,1,"Tagine: Traditional North African dish, typically made as a rich stew-like meal"
"Brought up, nurtured ",reared,18,Reared by individuals committed to providing care and attention
Indefatigability,stamina,2,Inexhaustible stamina
Formal set of clothes ,suit,1,Tailored suit or business attire
Specialised school,academy,8,Selective academy
Narrow runner for the snow ,ski,3,Nordic skier
"Plead, implore ",beg,1,Beg for mercy
Bursar ,treasurer,3,Treasurer: An official appointed to oversee funds within an institution or organization.
Statement of transactions and costs ,account,8,Accounts Payable (AP): Money owed by a company to its suppliers or vendors for goods or services received but not yet paid for
Hearth ,fireplace,1,Home fireplace
Backs of legs ,calves,2,Calves or lower leg muscles
Spanish wine cocktail ,sangria,4,"Sangria envasado (bottled sangria, a popular Spanish punch-like beverage made with wine and fruit juices)"
Difficulty in reading and spelling ,dyslexia,2,Atypical dyslexia
Stronghold ,fortress,7,Resilient fortress
Movie ,film,5,Film buff's delight
