CLUE,ANS,POS
Spanish friend ,amigo,1
Bear patiently ,endure,1
Taurus,bull,1
Origins ,roots,7
Evaluations ,assessments,6
Breaks out suddenly ,erupts,2
Hebridean island ,barra,18
Lie with arms and legs spread about loosely ,sprawl,6
State-of-the-art ,cutting-edge,1
Swapping ,exchanging,2
Attack by planes,air raid,12
Wardrobe ,closet,1
The kneecap ,patella,1
Field of grass ,meadow,5
Part of a machine with a plunging motion ,piston,1
Handle something awkwardly ,fumble,1
Diminishes or puts at rest ,allays,16
Sailing ship ,barque,13
Offer of marriage ,proposal,1
Compunction ,remorse,1
Unit of current ,ampere,1
