CLUE,ANS,POS
Green-fleshed fruit ,avocado,1
Fortified wine ,sherry,4
Open space (in forest) ,clearing,1
Forthright ,blunt,7
People one doesn't know ,strangers,2
Tact - tasty food,delicacy,1
Relating to a form of government with power shared between the centre and the regions ,federal,2
Widely known and esteemed ,renowned,1
Come closely together ,huddle,1
Greasy ,oily,1
Eventually ,in the long run,8
Come into view,appear,4
Large crow ,raven,1
Theatrical ,dramatic,1
Dungeon ,cell,1
Bitter substance from cinchona bark ,quinine,1
