CLUE,ANS,POS
"Spoofs, shams ",hoaxes,5
Parliamentary break ,recess,1
Public occasion ,event,12
Suffer great hunger ,starve,1
Easy gallop ,canter,1
"Curious, odd ",peculiar,8
Live,exist,1
Imaginary place where everything is perfect ,utopia,2
Noah's vessel ,ark,1
Out of tune,off-key,4
Type of piano ,upright,1
It may be grizzly or polar ,bear,1
Figure maker ,sculptor,1
Rips; droplets ,tears,1
"Trustworthy, dependable ",reliable,5
Plaything ,toy,1
Colouring stick ,crayon,1
Modish ,elegant,7
"Dry, parched ",arid,1
Emaciated ,skeletal,3
Endeavours ,attempts,1
Fault - default ,defect,5
