CLUE,ANS,POS
Confess and permit entrance ,admit,1
Sudden attack ,assault,1
"Disparage, put down ",decry,5
"Feature, quality ",characteristic,3
Seaweed ,kelp,2
"Saccharin, for example",sweetener,1
S African currency ,rand,1
Order to be off the streets by a certain hour ,curfew,1
Kenyan capital ,nairobi,1
Compartment for baking ,oven,1
Main tower of a castle ,keep,1
"Waver, go this way and that ",fluctuate,2
Self-evident truth ,axiom,1
"Turn to (for information, authorisation etc)",refer,8
Unwillingness to respect the views of others ,intolerance,3
"Fatuous, vacuous ",inane,2
Great fear,terror,1
"Flop, turkey ",dud,11
Universe ,cosmos,1
