CLUE,ANS,POS
Large wild American feline,puma,3
Present in great quantity ,abundant,2
Formerly British Honduras ,belize,1
Hatred ,enmity,14
The Three Wise Men ,magi,1
Flat piece of ceramic,tile,1
Art of designing and making clocks ,horology,1
Place for public Jewish worship ,synagogue,1
Part of shirt ,collar,4
Brief published biography of recently deceased person,obituary,1
Entry into foreign country to conquer it ,invasion,1
Something that motivates ,incentive,13
Large wading bird ,ibis,3
Sikh headgear ,turban,1
Complete set of genetic material of an organism ,genome,1
