CLUE,ANS,POS,FOUND IN
"Trot in after sea-god, son of Poseidon ",triton,10,Triton's kin
Stated firmly ,asserted,1,Asserted confidently
Set of clothes or group of people ,outfit,3,Outfit (clothes)
Products of creativity ,art,1,Artistic masterpieces
Exciting sensations ,thrills,14,Heart-racing thrills
"Medieval Japanese trained in martial arts, assassination and espionage ",ninja,7,Jigen (a type of ninja)
Gravelly courage ,grit,1,Gritty determination
Thin pointer ,needle,11,Needle-like pointer
Curly-leaved endive ,fris,4,Frisee
Person from country nothe of china ,mongol,2,Mongolian
