CLUE,ANS,POS
Arab ruler ,emir,3
Continental ,european,1
Formal written work dealing with a particular subject ,treatise,3
Had as a purpose ,intended,2
Card game with four players ,bridge,1
Acute shortage ,dearth,9
Inequitable ,unjust,1
Concurred ,agreed,1
Wimbledon game ,tennis,1
Going too fast ,speeding,1
Overwhelming fear ,panic,1
Dependent (on someone or something) ,reliant,1
Boiling water vapour,steam,1
Lustful woodland god ,satyr,4
Playwright ,dramatist,3
Carve a statue ,sculpt,2
Generally liked ,popular,1
Acceptance ,approval,3
