CLUE,ANS,POS,FOUND IN
Explicit or in detail ,specific,1,"Intensely specific: A term that describes something with great precision, leaving no room for ambiguity."
Cardinal number ,seventeen,17,Seventeenth
Search ,quest,3,Quest for information
Entrance ,gate,1,Gateway
Huge legendary beings ,giants,6,Mythical giants
PhD or D.Phil ,doctorate,1,Doctorate holder
Young newt ,eft,9,Baby eft (eft is another term for a young newt)
Peculiar ,odd,1,Oddball
Private teacher ,tutor,1,Individual tutoring
Fertiliser ,manure,16,Manure compost
Verity ,truth,1,Truthful
Grotto ,cave,1,Cave dwelling
Brief moment ,second,12,Split second
