CLUE,ANS,POS
Self-love ,narcissism,4
Gangster's tart ,moll,3
Moll Flanders author ,defoe,1
Small close-knit group,clique,1
Slack,loose,4
Roman god of the sea ,neptune,1
Motherly,maternal,20
Doctor -- (Marlowe) ,faustus,1
The mythical giant with a single eye in the middle of his forehead ,cyclops,1
Lacking any ethical sense ,amoral,1
Simple and guileless,naive,2
Rope loop ,noose,3
Top of door or window frame ,lintel,2
His touch turned to gold ,midas,1
Quantity of medicine ,dosage,1
"British landscape and seascape painter, d.1851 ",turner,1
Quick look ,glance,1
Quick way to meet a new partner?,speed dating,1
Estrange ,alienate,1
Push roughly ,jostle,3
Short pieces for solo instruments to show talent ,etudes,2
"Good enough, acceptable ",adequate,9
Tool for making holes ,awl,4
Idolise ,worship,4
Unwanted plant ,weed,1
Standard for comparison ,yardstick,10
