CLUE,ANS,POS
Seat of the high kings of Ireland ,tara,1
Disparagement ,denigration,16
F1 team and car maker,lotus,15
Chief Norse god ,odin,1
Fall-back option ,default,11
Capital of Japan,tokyo,1
Hole in tooth ,cavity,1
High official in former Ottoman Empire ,vizier,2
Fossilised resin used in jewellery,amber,1
Male sex hormone,testosterone,1
Etch,inscribe,11
It used to be Persia ,iran,4
Evacuation ,exodus,4
Yellowish fossil resin ,amber,1
Actor's part ,role,2
Unit of electric power,watt,4
