CLUE,ANS,POS
Ignorant (of) ,unaware,11
Large wall painting,mural,1
Ceremony - ritual,rite,7
Tragic prince of Elsinore ,hamlet,1
Lend an ear ,listen,2
Greek island ,rhodes,4
Humorist ,comedian,1
"Muse, mull over ",consider,4
Light brown sugar ,demerara,8
"Surrounding, on all sides - light or temperature ",ambient,1
Presiding person ,chairman,1
Remove rind ,peel,1
Declare invalid ,annul,7
Curved under-parts of the feet ,arches,1
"Brain operation, once used to treat mental illness",lobotomy,1
Option,choice,2
"Medium, average, fair ",middling,2
Broadcast again ,rerun,2
Sleepwalker ,somnambulist,1
