CLUE,ANS,POS
Season of falling leaves ,autumn,1
Roman god of the sea ,neptune,1
The mythical giant with a single eye in the middle of his forehead ,cyclops,1
Lacking any ethical sense ,amoral,17
Simple and guileless,naive,11
Top of door or window frame ,lintel,10
Quantity of medicine ,dosage,1
Bird of prey ,raptor,13
"Good enough, acceptable ",adequate,2
Tool for making holes ,awl,6
Idolise ,worship,1
Fictional central European kingdom ,ruritania,16
Unwanted plant ,weed,1
Relative three generations earlier ,great-grandmother,7
