CLUE,ANS,POS
"Listening device, insect or electronic fault ",bug,3
Nature abhors one ,vacuum,1
Trendy body joint? ,hip,5
Firm ,solid,4
"Keepsake, souvenir ",memento,3
Flower ,bloom,7
Power to withstand hardship ,endurance,4
Arm joint,elbow,1
Highway ,road,1
Occasion for excessive eating or drinking,binge,4
Imperial weight ,ounce,4
Thick liquid for skin ,lotion,3
Disease inflaming the big toe ,gout,2
Grind (teeth),gnash,5
Monetary unit ,dollar,1
Child's toy on a string ,yo-yo,14
Stand firm against ,resist,1
Shielded ,sheltered,19
Hole (for shoelace) ,eyelet,2
Ladies' hosiery,tights,3
Hotchpotch ,mishmash,2
Fight ,battle,1
Made ready (to fire) ,primed,2
Broad ,wide,1
Chain of rocks underwater ,reef,1
Improve equipment or promote ,upgrade,1
