CLUE,ANS,POS
"Admittance, entree ",access,1
Alter ,change,1
Niggardly ,stingy,4
Device for opening or closing a circuit,switch,1
Summer trousers ,shorts,1
Large airship ,zeppelin,2
Not sellable ,unmarketable,5
Fly larva ,maggot,1
"Mindless, pointless ",senseless,9
Important person (slang) ,bigwig,2
Ring-doughnut shape ,torus,1
Deserter ,renegade,18
Paper fastener ,staple,6
Haitian city,port-au-prince,1
Desert illusion ,mirage,1
Mechanical man,android,6
Vegetation; informer ,grass,18
Carpenter's tool for a pair ,brace,12
