CLUE,ANS,POS,FOUND IN
Promissory note ,iou,4,"IOU (short for ""I Owe You"")"
Counterpart of yang ,yin,1,Yangyin (harmonious balance in Taoist philosophy)
Great poet of ``Paradise Lost'' ,milton,1,John Milton
Compact firearm,handgun,13,Compact handgun
Raincoat ,mac,16,Pharmaceutical intervention
Talk incessantly ,chatter,2,Chatterbox
Imperial land measurement ,acre,1,Acres
Many-headed foe of Hercules ,hydra,3,Hydra (specifically in mythology related to Hercules)
Mishap ,accident,1,Accidental
Man or beast ,animal,2,Animalistic
Porous substance to soak up ,sponge,5,Abrasive sponge
