CLUE,ANS,POS
Raise ,elevate,1
Describes poorly groomed hair ,shaggy,2
Scruffy; unfair ,shabby,6
Green public spaces ,gardens,2
Discolorations or dirt marks ,stains,1
Greek god of the sea ,poseidon,1
TV motoring programme ,top gear,1
A cloche (anag) - spiral cavity of the inner ear,cochlea,1
"Requires, is in want of ",needs,1
Falsehood ,lie,1
Snatch,grab,1
Unreal ,illusory,7
In these times ,nowadays,12
Fermented grape juice ,wine,1
Young woman entering society ,debutante,1
"Franz ....., Czech author of 'The Trial' ",kafka,1
Escape ,flight,2
Unwell ,ill,3
Annoy continually ,harass,1
Foe,enemy,1
