CLUE,ANS,POS
Ignorant (of) ,unaware,13
Tragic prince of Elsinore ,hamlet,2
Historic English king ,athelstan,17
Male singing voice ,baritone,2
"On a ship, train etc ",aboard,1
Greek island ,rhodes,2
Annulled ,repealed,8
"Muse, mull over ",consider,3
"Incidents, occasions ",events,1
Remove rind ,peel,1
Scottish landowner ,laird,2
Curved under-parts of the feet ,arches,1
"Brain operation, once used to treat mental illness",lobotomy,1
"Medium, average, fair ",middling,11
Aimlessly floating ,adrift,2
Sleepwalker ,somnambulist,2
Stopper - Irish port,cork,1
