CLUE,ANS,POS
"Abode, home ",residence,1
Crewed ,manned,1
Healing ointment ,balm,2
At the back of a ship,aft,2
Distinctive clothing for members ,uniforms,1
Glance over ,scan,5
Inn ,tavern,2
Imbibes,drinks,1
Set of clothes ,outfit,1
Testament or determination ,will,2
Female sheep ,ewe,1
Cinema attendant ,usher,2
Deuce ,two,1
Whisper,murmur,1
Thatcher's PM decade ,eighties,1
Thing not charged for ,freebie,9
Mount ,climb,3
Song of loyalty ,anthem,1
Noble gas used in illuminated signs ,neon,1
Peter Pan author ,barrie,1
Strokes or fondles ,caresses,1
"Tube for air, cables, etc ",duct,6
