CLUE,ANS,POS,FOUND IN
Get bigger ,grow,4,Grow larger
Discharge; give expression to,vent,9,Ventilate: Expressing pent-up emotions or thoughts in an open manner.
Ought to ,should,16,Should be taken into account
Food from milk curd ,cheese,1,Cheese - the most common product made by coagulating and draining milk
Aid in a crime ,abet,10,Aider and abettor
Dismal ,drear,14,Dreary
Aid to memory ,mnemonic,1,Mnemonic device
Accounts checker,auditor,1,Financial auditor
Egg membrane ,yolk sac,13,Yolk sac encasement
With much to do ,busy,4,Busy schedule
Bigotry ,bias,2,Discrimination: The act of treating individuals differently due to prejudices and biases related to their characteristics.
Intensely angry - dark bluish grey ,livid,4,Livid anger
Polynesian garland ,lei,1,"Maile - a type of leis made from dried leaves of the hala tree, native to Hawaii and other Pacific islands"
One with no illusions ,realist,6,Realistic
