CLUE,ANS,POS
Hopelessness ,despair,6
Going in the same direction but always the same distance apart ,parallel,14
"Warranty, pledge ",guarantee,1
Brass band instrument ,euphonium,4
Pennant ,banner,1
Medical care ,treatment,1
Not easily satisfied ,exacting,11
It used to be Constantinople ,istanbul,1
White heron ,egret,1
Winner ,champion,1
Transparent part of envelope,window,1
Art of crafting objects from paper,origami,1
Looks for; is in store for ,awaits,2
Storage space for fodder,silo,2
Albumen,egg white,1
Lose all cohesion ,disintegrate,1
Man's servant ,valet,8
Thin paper or plastic tubes ,straws,1
Odours ,smells,1
Underground room ,cellar,2
Incisive ,penetrating,10
Woollies ,knitwear,3
Garden of fruit trees,orchard,1
