CLUE,ANS,POS
Bloodsucker; early doctor ,leech,2
Supreme Being ,god,1
Clown,jester,1
Get away ,escape,1
"Rudyard --, author ",kipling,2
Established customs ,habits,4
Sorcerer ,magician,1
In the distant past ,long ago,10
Petty quarrel ,tiff,3
Casual shoes ,sneakers,1
Of soldiers and warfare ,military,5
The world considered as a linked community ,global village,15
Came into sight ,appeared,1
Marine - living in water ,aquatic,1
Abundant in quantity ,copious,2
Small falcon ,merlin,4
Small biting fly ,gnat,2
"Eg, native of Sucre ",bolivian,1
Sermons are preached from it ,pulpit,1
Vocalist ,singer,1
"Undamaged, not broken ",intact,2
Ocean ,sea,1
Sudden impulse ,whim,1
Picture-house,cinema,1
