CLUE,ANS,POS
Impatient desire ,itch,12
Deep gorge or ravine ,canyon,1
Noise of an explosion ,bang,2
Uneasily; with nauseous feeling ,queasily,1
Tested or scrutinised ,examined,7
The islands of eastern Oceania ,polynesia,1
Way in ,entrance,15
Agile ,nimble,12
Lusterless or uninteresting ,dull,1
Bony outgrowths on the heads of some animals ,horns,2
Short trousers ,breeches,4
Altruistic,selfless,1
Driving force ,impetus,12
Mankind ,human race,16
Depart; permission ,leave,1
Land once belonging to a nobleman,manor,2
A fight or contest ,combat,3
"Desire or liking, for power or food ",appetite,3
Story ,narrative,1
"Songwriting partnership, Rodgers and -- ",hart,2
Fearful expectation ,dread,3
Recreate (past event) ,reenact,1
