CLUE,ANS,POS
Focal point for Mass ,altar,1
Season of falling leaves ,autumn,1
Slack,loose,3
Motherly,maternal,3
The mythical giant with a single eye in the middle of his forehead ,cyclops,1
Lacking any ethical sense ,amoral,2
Simple and guileless,naive,3
Rope loop ,noose,2
Top of door or window frame ,lintel,5
Quick look ,glance,1
Quick way to meet a new partner?,speed dating,8
Estrange ,alienate,1
Hexagonal comb creator,honeybee,4
Develop wing feathers ,fledge,20
Bird of prey ,raptor,6
"Good enough, acceptable ",adequate,3
Tool for making holes ,awl,10
"Long, narrow hilltop ranges ",ridges,1
Idolise ,worship,2
Unwanted plant ,weed,1
