CLUE,ANS,POS
Purposes or intentions ,aims,2
Cores ,hearts,2
Hayfield ,meadow,2
Wartime stealer,looter,1
Mental or emotional strain,stress,2
Narrow track or path ,lane,3
Decorates with hanging ornaments ,festoons,5
Electric safety device ,circuit breaker,3
Breaking free ,escaping,1
Anniversary ,jubilee,10
Brawl ,free-for-all,12
Cattle ,oxen,2
"Ogden --, US humorous poet ",nash,2
Artist's workshop ,atelier,1
Helps ,aids,2
Banned (German),verboten,1
Involuntary habitual response,tic,2
Went at a fast gait ,galloped,7
Sign of the zodiac ,leo,5
Drunk (as a ceiling or wall may be) ,plastered,8
Tropical fruit ,guava,11
