CLUE,ANS,POS,FOUND IN
Sudden emotional speech ,outburst,17,Emotional outburst
This sauce often goes with fish ,tartar,1,Tartar Sauce
Covered with trees ,wooded,1,Wooded area
First-footing time ,new year,16,Auld Lang Syne (song often sung at New Year celebrations in Scotland)
Stormy ,blustery,10,Blustery chill
Fatty ,adipose,9,Adipose tissue (in a biological context)
"Grate, scratch ",scrape,51,Carve (to scratch or scrape away at a material to shape it)
Nobleman,baron,11,Baronet
Vanity Fair author ,thackeray,1,"William Makepeace Thackeray (author of ""Vanity Fair"")"
Add (up); child ,tot,2,Total
Small acting role; item of jewellery ,cameo,1,Cameo appearance
South Indian people or language ,tamil,2,Tamil Nadu residents
Senior ,elder,1,Elderly
