CLUE,ANS,POS
Sheaths for guns ,holsters,1
Mitigate; forgive ,excuse,15
Elegant British tree,silver birch,19
Powerful falcon ,peregrine,1
Goodbye ,cheerio,13
Suffer - last,endure,8
Gossamer trap,cobweb,3
South African meat ,biltong,2
Fastened with metal pins ,nailed,8
Take issue with ,disagree,1
Association of sports teams ,league,1
Inflammation of head cavities ,sinusitis,1
Double-dealing ,two-faced,5
Ventilated ,aired,1
Gaping,wide open,1
Purple,violet,1
Mighty ones grow from little acorns,oaks,2
Elliptical figure,oval,1
Nut ,cashew,3
Frocks ,dresses,1
Room to manoeuvre ,leeway,2
Responsive to stimulus ,reactive,1
Complacent ,smug,1
Broken-off end ,stub,1
