CLUE,ANS,POS,FOUND IN
Fiend ,demon,11,Demonic possession
Football official (colloq.) ,ref,3,Referee's aide
Taut ,tight,1,Stretched tightly
"An opponent - opposed to party policy, etc ",anti,11,Antiquated (in terms of policy)
"Asian country, capital and mega-port ",singapore,8,Singapore (Singapore - Port: Port of Singapore)
Pack ,stow,7,Stowed away
Speed up ,quicken,20,Quickened pace
Fruit of a rose ,hip,2,Rosehip
Pigs' feet,trotters,2,Swine trotters
Soft feathers ,down,1,Downy plumage
Film,movie,2,Movie theater
Ambrosia ,nectar,3,Immortality-granting nectar
