CLUE,ANS,POS
Floor-covering ,carpet,1
Power and prestige ,influence,2
Don't hold on,let go,3
Having no intelligible meaning ,nonsense,2
English port ,dover,3
Intense anger,fury,1
Unwelcome intrusion ,invasion,1
Crossbred ,hybrid,1
State of bliss ,nirvana,2
Enthusiastically ,eagerly,1
"Old German kingdom, capital Berlin ",prussia,1
Warlike Hunnish king ,attila,1
Hybridisation ,crossbreeding,1
Strong miniature whirlwind ,dust devil,1
Forswear ,abjure,3
Mild oath associated with medieval England,gadzooks,20
A French mister ,monsieur,2
Dispirited ,dismayed,6
Famous person (sl.) ,celeb,1
Interference ,meddling,3
Melt ,dissolve,3
Acquiring skill or knowledge ,learning,1
Developing in small steps ,gradual,2
North African capital ,tunis,8
Leave out or neglect ,omit,1
"Smooth, glossy ",sleek,5
"Last, final or extreme ",ultimate,2
Aggressive masculine pride ,machismo,1
Low in price ,cheap,3
The witching hour ,midnight,1
Encourage ,urge,14
Bomb fragments,shrapnel,1
Attack ,raid,4
The use of words which is the opposite of what they say ,irony,1
Sea duck with soft down ,eider,2
German name for Aix-la-Chapelle ,aachen,1
Venom ,poison,2
