CLUE,ANS,POS
Roman Emperor notorious for vice and luxury ,nero,1
Clown,jester,1
Get away ,escape,1
"Rudyard --, author ",kipling,1
Established customs ,habits,6
Sorcerer ,magician,2
Casual shoes ,sneakers,1
Burrowing marsupial ,wombat,1
The world considered as a linked community ,global village,1
Marine - living in water ,aquatic,1
Abundant in quantity ,copious,2
Dramatic prince of Denmark ,hamlet,1
"Eg, native of Sucre ",bolivian,1
Sermons are preached from it ,pulpit,1
Vocalist ,singer,1
"Undamaged, not broken ",intact,1
"Pablo -, Spanish painter/sculptor ",picasso,6
Sudden impulse ,whim,1
