CLUE,ANS,POS,FOUND IN
Wryly satirical ,ironic,2,Ironic wit
Audacity ,rashness,8,Brashness
"Eg, eagle, hawk, owl ",bird of prey,20,Vulture (another bird of prey)
Golf ball support ,tee,1,Tee box cushioning
Right-hand page ,recto,2,Recto (Latin term)
Take over plane by force in flight ,hijack,1,Hijacking
Discover ,learn,11,Learn about
Native and language giving name to a sea ,carib,19,Caribbean Sea
South American capital ,brasilia,1,Brasilia (Brazil)
Beforehand ,early,11,Early on
About,circa,11,Circa (often abbreviated as c.)
A feeling of righteous anger,outrage,4,Outraged
