CLUE,ANS,POS
Mathematical array ,matrix,1
Charge with crime ,indict,2
Compassionate ,humane,12
Style of hat ,fedora,1
Evil-smelling animal of N America ,skunk,1
Money bag ,purse,3
More potent,stronger,1
Cold dish ,salad,1
Smuggled goods,contraband,1
Appointment ,post,15
Leniency and compassion towards offenders ,clemency,12
"Goal, aim ",objective,2
Onlookers ,audience,5
Not harsh or violent ,gentle,1
Belgian surreal painter ,magritte,1
Made bigger ,enlarged,1
Vase with handles ,urn,1
"Sinew, maybe 3 ",tendon,1
Theatre promoter,impresario,1
Deciduous tree ,poplar,15
Thread or tall tale ,yarn,1
Draw in (with mouth) ,suck,1
Separating into parts ,dividing,2
Weirdly funny ,wacky,8
A brief or casual look ,glance,1
Domestic cattle ,oxen,4
Appointments ,dates,5
Charged particle,ion,5
