CLUE,ANS,POS,FOUND IN
Season of falling leaves ,autumn,1,Autumnal
Moll Flanders author ,defoe,1,Daniel Defoe
Small close-knit group,clique,9,Small clique
Motherly,maternal,8,Maternal instincts
Wireless ,radio,5,Radio frequency receiver
His touch turned to gold ,midas,10,"Midas touch (referring to the mythological king who turned everything he touched into gold, as a metaphor for someone whose actions bring great success or wealth)"
Escaped or avoided ,evaded,14,Unattainable goal evaded
Cut with edged tool ,sawed,13,Sawed down to size
Quick look ,glance,5,Brief glance
Estrange ,alienate,1,Alienated
Push roughly ,jostle,9,Jostle harshly
Bird of prey ,raptor,14,Raptor (general term for bird of prey)
Black and white bird ,magpie,15,"Magpie (while primarily black with a white tail, not exclusively black and white overall)"
Branch of study of the physical world ,science,2,Natural Sciences
"Long, narrow hilltop ranges ",ridges,11,Alpine ridges
Idolise ,worship,5,Worshipped
Unwanted plant ,weed,2,Noxious weed
Spanish friend ,amigo,1,Amigo de habla hispana
Mechanical device preventing a wheel slipping backwards,ratchet,1,Ratchet Wheel Hub
Bear patiently ,endure,14,"Gritting teeth (metaphorically, to endure a situation without complaint)"
Taurus,bull,1,Bullish
Breaks out suddenly ,erupts,1,Erupts unexpectedly
Appeal,allure,17,Captivating allure
Lie with arms and legs spread about loosely ,sprawl,2,Lying sprawled
Inappropriate ,improper,7,Improper conduct
Right or means of entry ,access,9,Access point
Subdivisions in theatre ,scenes,2,Scenes: Smaller subdivisions within acts that usually occur at new locations or represent shifts in time or perspective.
Handle something awkwardly ,fumble,2,Fumble with delicacy
Sailing ship ,barque,8,Sailing barque (a type of sailing ship)
Form of mental illness causing one to withdraw into private world ,autism,2,Autism spectrum disorder (specifically the aspect that involves social detachment)
Offer of marriage ,proposal,1,Engagement proposal
Unit of current ,ampere,1,Ampere (A)
